"id","chembl_id"
2578,"CHEMBL201152"
2589,"CHEMBL1881068"
2631,"CHEMBL3121562"
2658,"CHEMBL387737"
2659,"CHEMBL1765382"
2660,"CHEMBL493646"
2661,"CHEMBL488312"
2680,"CHEMBL598566"
2684,"CHEMBL3185495"
2687,"CHEMBL3039425"
2688,"CHEMBL1478642"
2693,"CHEMBL1335374"
2727,"CHEMBL459825"
2735,"CHEMBL154850"
2743,"CHEMBL2332431"
2747,"CHEMBL2332427"
2747,"CHEMBL2332428"
2747,"CHEMBL2386513"
2751,"CHEMBL116810"
2751,"CHEMBL3309453"
2759,"CHEMBL454697"
2760,"CHEMBL54161"
2761,"CHEMBL448125"
2786,"CHEMBL2332880"
2789,"CHEMBL2386512"
2792,"CHEMBL2332430"
2798,"CHEMBL502212"
2799,"CHEMBL205812"
2802,"CHEMBL2766015"
2816,"CHEMBL339068"
2817,"CHEMBL471393"
2818,"CHEMBL510169"
2819,"CHEMBL472640"
2820,"CHEMBL511651"
2821,"CHEMBL511824"
2822,"CHEMBL471392"
2823,"CHEMBL2413418"
2826,"CHEMBL1715398"
2829,"CHEMBL555367"
2831,"CHEMBL481658"
2835,"CHEMBL399907"
2836,"CHEMBL366277"
2843,"CHEMBL3185916"
2847,"CHEMBL115725"
2849,"CHEMBL258939"
2853,"CHEMBL1437285"
2854,"CHEMBL1318346"
2857,"CHEMBL1770313"
2860,"CHEMBL459827"
2862,"CHEMBL453815"
2869,"CHEMBL479477"
2869,"CHEMBL492826"
2870,"CHEMBL455679"
2872,"CHEMBL3600405"
2874,"CHEMBL9470"
2875,"CHEMBL267024"
2876,"CHEMBL397309"
2879,"CHEMBL112415"
2882,"CHEMBL454528"
2887,"CHEMBL459611"
2889,"CHEMBL525084"
2890,"CHEMBL1588549"
2890,"CHEMBL464610"
2892,"CHEMBL459610"
2895,"CHEMBL1089642"
2900,"CHEMBL32570"
2905,"CHEMBL2087611"
2905,"CHEMBL458934"
2909,"CHEMBL504029"
2911,"CHEMBL2228374"
2911,"CHEMBL3187449"
2915,"CHEMBL487801"
2917,"CHEMBL1077088"
2917,"CHEMBL444389"
2922,"CHEMBL455491"
2936,"CHEMBL516097"
2947,"CHEMBL262344"
2949,"CHEMBL64581"
2950,"CHEMBL303104"
2951,"CHEMBL1171719"
2951,"CHEMBL1561544"
2951,"CHEMBL477832"
2951,"CHEMBL519167"
2952,"CHEMBL3594353"
2952,"CHEMBL466844"
2953,"CHEMBL1773987"
2954,"CHEMBL3357162"
2955,"CHEMBL255683"
2955,"CHEMBL3634637"
2956,"CHEMBL1669123"
2956,"CHEMBL375563"
2957,"CHEMBL1783835"
2958,"CHEMBL398412"
